Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01 NOV 2025,01 NOV 2025,NEFT CR-HDFC0001234-ABC COMPANY LTD-SALARY-200000001,200000001,,85000.00,130000.00
01 NOV 2025,01 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000002,200000002,2499.00,,127501.00
01 NOV 2025,01 NOV 2025,UPI/200000003/MERCHANT/merch@ybl/Payment,200000003,799.00,,126702.00
01 NOV 2025,01 NOV 2025,UPI/200000004/UBER/uber@axis/Ride,200000004,99.00,,126603.00
01 NOV 2025,01 NOV 2025,UPI/200000005/VI/vi@ibl/Recharge,200000005,499.00,,126104.00
02 NOV 2025,02 NOV 2025,POS PURCHASE POS INOX MUMBAI 000006,200000006,799.00,,125305.00
02 NOV 2025,02 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000007,200000007,1299.00,,124006.00
02 NOV 2025,02 NOV 2025,POS PURCHASE POS MCD MUMBAI 000008,200000008,2499.00,,121507.00
02 NOV 2025,02 NOV 2025,UPI/200000009/MERCHANT/merch@ybl/Payment,200000009,2499.00,,119008.00
03 NOV 2025,03 NOV 2025,POS PURCHASE POS KFC MUMBAI 000010,200000010,199.00,,118809.00
03 NOV 2025,03 NOV 2025,UPI/200000011/MERCHANT/merch@ybl/Payment,200000011,1899.00,,116910.00
03 NOV 2025,03 NOV 2025,UPI/200000012/MERCHANT/merch@ybl/Payment,200000012,1899.00,,115011.00
03 NOV 2025,03 NOV 2025,UPI/200000013/OLA/ola@ybl/Ride,200000013,499.00,,114512.00
04 NOV 2025,04 NOV 2025,POS PURCHASE POS HP MUMBAI 000014,200000014,799.00,,113713.00
04 NOV 2025,04 NOV 2025,POS PURCHASE POS PVR MUMBAI 000015,200000015,2499.00,,111214.00
04 NOV 2025,04 NOV 2025,POS PURCHASE POS SB MUMBAI 000016,200000016,299.00,,110915.00
04 NOV 2025,04 NOV 2025,UPI/200000017/VI/vi@ibl/Recharge,200000017,2499.00,,108416.00
05 NOV 2025,05 NOV 2025,POS PURCHASE POS KFC MUMBAI 000018,200000018,1299.00,,107117.00
05 NOV 2025,05 NOV 2025,POS PURCHASE POS PVR MUMBAI 000019,200000019,349.00,,106768.00
05 NOV 2025,05 NOV 2025,NEFT DR-ICIC0005678-LANDLORD RENT-200000020,200000020,18000.00,,88768.00
05 NOV 2025,05 NOV 2025,UPI/200000021/Phonepe/Airtel Recharge,200000021,199.00,,88569.00
05 NOV 2025,05 NOV 2025,UPI/200000022/UBER/uber@axis/Ride,200000022,149.00,,88420.00
06 NOV 2025,06 NOV 2025,POS PURCHASE POS DMART MUMBAI 000023,200000023,349.00,,88071.00
06 NOV 2025,06 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000024,200000024,1899.00,,86172.00
06 NOV 2025,06 NOV 2025,POS PURCHASE POS INOX MUMBAI 000025,200000025,1899.00,,84273.00
06 NOV 2025,06 NOV 2025,UPI/200000026/UBER/uber@axis/Ride,200000026,799.00,,83474.00
07 NOV 2025,07 NOV 2025,POS PURCHASE POS FORTIS MUMBAI 000027,200000027,1899.00,,81575.00
07 NOV 2025,07 NOV 2025,POS PURCHASE POS INOX MUMBAI 000028,200000028,1899.00,,79676.00
07 NOV 2025,07 NOV 2025,UPI/200000029/MERCHANT/merch@ybl/Payment,200000029,299.00,,79377.00
07 NOV 2025,07 NOV 2025,UPI/200000030/MERCHANT/merch@ybl/Payment,200000030,1899.00,,77478.00
08 NOV 2025,08 NOV 2025,BBPS/BROADBAND/ACT FIBERNET/REF000031,200000031,999.00,,76479.00
08 NOV 2025,08 NOV 2025,POS PURCHASE POS BP MUMBAI 000032,200000032,349.00,,76130.00
08 NOV 2025,08 NOV 2025,POS PURCHASE POS BP MUMBAI 000033,200000033,1299.00,,74831.00
08 NOV 2025,08 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000034,200000034,2499.00,,72332.00
08 NOV 2025,08 NOV 2025,UPI/200000035/RAPIDO/rapido@ibl/Ride,200000035,799.00,,71533.00
09 NOV 2025,09 NOV 2025,POS PURCHASE POS HAL MUMBAI 000036,200000036,499.00,,71034.00
09 NOV 2025,09 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000037,200000037,249.00,,70785.00
09 NOV 2025,09 NOV 2025,POS PURCHASE POS MCD MUMBAI 000038,200000038,349.00,,70436.00
09 NOV 2025,09 NOV 2025,UPI/200000039/Phonepe/Airtel Recharge,200000039,799.00,,69637.00
10 NOV 2025,10 NOV 2025,POS PURCHASE ECOM MYN MUMBAI 000040,200000040,349.00,,69288.00
10 NOV 2025,10 NOV 2025,BBPS/ELECTRICITY/ADANI ELECTRICITY MUMBAI/REF000041,200000041,2503.00,,66785.00
10 NOV 2025,10 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000042,200000042,199.00,,66586.00
10 NOV 2025,10 NOV 2025,POS PURCHASE POS KFC MUMBAI 000043,200000043,799.00,,65787.00
10 NOV 2025,10 NOV 2025,UPI/200000044/VI/vi@ibl/Recharge,200000044,2499.00,,63288.00
11 NOV 2025,11 NOV 2025,BBPS/MOBILE/JIO PREPAID/REF000045,200000045,499.00,,62789.00
11 NOV 2025,11 NOV 2025,POS PURCHASE POS HP MUMBAI 000046,200000046,1899.00,,60890.00
11 NOV 2025,11 NOV 2025,UPI/200000047/MERCHANT/merch@ybl/Payment,200000047,149.00,,60741.00
11 NOV 2025,11 NOV 2025,UPI/200000048/RAPIDO/rapido@ibl/Ride,200000048,199.00,,60542.00
12 NOV 2025,12 NOV 2025,UPI/998877665544/NETFLIX/netflix@icici/Subscription,200000049,499.00,,60043.00
12 NOV 2025,12 NOV 2025,POS PURCHASE POS SB MUMBAI 000050,200000050,199.00,,59844.00
12 NOV 2025,12 NOV 2025,UPI/200000051/MERCHANT/merch@ybl/Payment,200000051,49.00,,59795.00
12 NOV 2025,12 NOV 2025,UPI/200000052/MERCHANT/merch@ybl/Payment,200000052,799.00,,58996.00
12 NOV 2025,12 NOV 2025,UPI/200000053/OLA/ola@ybl/Ride,200000053,1299.00,,57697.00
12 NOV 2025,12 NOV 2025,UPI/200000054/VI/vi@ibl/Recharge,200000054,249.00,,57448.00
13 NOV 2025,13 NOV 2025,POS PURCHASE POS HAL MUMBAI 000055,200000055,149.00,,57299.00
13 NOV 2025,13 NOV 2025,UPI/200000056/MERCHANT/merch@ybl/Payment,200000056,299.00,,57000.00
13 NOV 2025,13 NOV 2025,UPI/200000057/SWIGGY/swiggy@payt/Payment,200000057,349.00,,56651.00
13 NOV 2025,13 NOV 2025,UPI/200000058/OLA/ola@ybl/Ride,200000058,99.00,,56552.00
14 NOV 2025,14 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000059,200000059,349.00,,56203.00
14 NOV 2025,14 NOV 2025,POS PURCHASE POS HP MUMBAI 000060,200000060,1899.00,,54304.00
14 NOV 2025,14 NOV 2025,POS PURCHASE POS INOX MUMBAI 000061,200000061,349.00,,53955.00
14 NOV 2025,14 NOV 2025,UPI/200000062/MERCHANT/merch@ybl/Payment,200000062,2499.00,,51456.00
15 NOV 2025,15 NOV 2025,POS PURCHASE POS APOLLO MUMBAI 000063,200000063,199.00,,51257.00
15 NOV 2025,15 NOV 2025,POS PURCHASE POS APOLLO MUMBAI 000064,200000064,1299.00,,49958.00
15 NOV 2025,15 NOV 2025,POS PURCHASE POS HP MUMBAI 000065,200000065,49.00,,49909.00
15 NOV 2025,15 NOV 2025,POS PURCHASE POS REL MUMBAI 000066,200000066,2499.00,,47410.00
15 NOV 2025,15 NOV 2025,UPI/887766554433/SPOTIFY/spotify@ybl/Music,200000067,119.00,,47291.00
16 NOV 2025,16 NOV 2025,POS PURCHASE POS BP MUMBAI 000068,200000068,1899.00,,45392.00
16 NOV 2025,16 NOV 2025,POS PURCHASE POS SB MUMBAI 000069,200000069,149.00,,45243.00
16 NOV 2025,16 NOV 2025,UPI/200000070/MERCHANT/merch@ybl/Payment,200000070,249.00,,44994.00
16 NOV 2025,16 NOV 2025,UPI/200000071/VI/vi@ibl/Recharge,200000071,1899.00,,43095.00
